# c097: (lambda (concat (cons 11 (cons 21 (cons 43 (singleton 19)))) (concat $0 (cons 7 (cons 89 (cons 0 (singleton 57)))))))
6,59,33,33;11,21,43,19,6,59,33,33,7,89,0,57
2,87,9,99,62,4;11,21,43,19,2,87,9,99,62,4,7,89,0,57
39,87;11,21,43,19,39,87,7,89,0,57
91;11,21,43,19,91,7,89,0,57
;11,21,43,19,7,89,0,57
47,47,47,47,47;11,21,43,19,47,47,47,47,47,7,89,0,57
15,96,6;11,21,43,19,15,96,6,7,89,0,57
27,3,13,13,85,3,99;11,21,43,19,27,3,13,13,85,3,99,7,89,0,57
30,53,79,1,30,79,1;11,21,43,19,30,53,79,1,30,79,1,7,89,0,57
68,31,1,6,31,6;11,21,43,19,68,31,1,6,31,6,7,89,0,57
81,48,25,39,9,72,54;11,21,43,19,81,48,25,39,9,72,54,7,89,0,57
